Hello, world!
50200000,       value = 00000001
50200004,       value = 0f000f01
50200008,       value = 01000f00
5020000c,       value = 00000000
50200010,       value = 00000000
50200014,       value = 00000000
50200018,       value = 00000000
5020001c,       value = 00000000
50200020,       value = 00ff0000
50200024,       value = 17a0d651
50200028,       value = da6ffb70
5020002c,       value = 76dcdad9
50200030,       value = 00000000
50200034,       value = 00000000
50200038,       value = 00000000
5020003c,       value = 00000000
50200040,       value = 00001000
50200044,       value = 00200404
50200048,       value = 00000000
5020004c,       value = 00000000
50200050,       value = 00000000
50200054,       value = 00000000
50200058,       value = 00000000
5020005c,       value = 00000000
50200060,       value = 00000000
50200064,       value = 00000000
50200068,       value = 00000000
5020006c,       value = 00000000
50200070,       value = 00000000
50200074,       value = 00000000
50200078,       value = 00000000
5020007c,       value = 00000000
50200080,       value = 00000000
50200084,       value = 00000000
50200088,       value = 00000000
5020008c,       value = 00000000
50200090,       value = 00000000
50200094,       value = 00000000
50200098,       value = 00000000
5020009c,       value = 00000000
502000a0,       value = 00000000
502000a4,       value = 00000000
502000a8,       value = 00000000
502000ac,       value = 00000000
502000b0,       value = 00000000
502000b4,       value = 00000000
502000b8,       value = 00000000
502000bc,       value = 00000000
502000c0,       value = 00000000
502000c4,       value = 00000000
502000c8,       value = 000fa000
502000cc,       value = 0001fe00
502000d0,       value = 40060000
502000d4,       value = 0000001c
502000d8,       value = 00006221
502000dc,       value = 20003000
502000e0,       value = 00010000
502000e4,       value = 0001f000
502000e8,       value = 000c0000
502000ec,       value = 00000000
502000f0,       value = 0000079c
502000f4,       value = 14000000
502000f8,       value = 00010000
502000fc,       value = 0001f000
50200100,       value = 000c0000
50200104,       value = 00000000
50200108,       value = 0000079c
5020010c,       value = 14000000
50200110,       value = 00010000
50200114,       value = 0001f000
50200118,       value = 000c0000
5020011c,       value = 00000000
50200120,       value = 0000079c
50200124,       value = 14000000
50200128,       value = 000000f0
5020012c,       value = 00000000
50200130,       value = 00000000
50200134,       value = 00000000
50200138,       value = 00000000
5020013c,       value = 00000000
50200140,       value = 00000000
Byebye, world!
50200000,       value = 00000001
50200004,       value = 0f000f01
50200008,       value = 01000f00
5020000c,       value = 00000000
50200010,       value = 00000000
50200014,       value = 00000000
50200018,       value = 00000000
5020001c,       value = 00000000
50200020,       value = 0000ff00
50200024,       value = 17a0d651
50200028,       value = da6ffb70
5020002c,       value = 76dcdad9
50200030,       value = 00000000
50200034,       value = 00000000
50200038,       value = 00000000
5020003c,       value = 00000000
50200040,       value = 00001000
50200044,       value = 00200404
50200048,       value = 00000000
5020004c,       value = 00000000
50200050,       value = 00000000
50200054,       value = 00000000
50200058,       value = 00000000
5020005c,       value = 00000000
50200060,       value = 00000000
50200064,       value = 00000000
50200068,       value = 00000000
5020006c,       value = 00000000
50200070,       value = 00000000
50200074,       value = 00000000
50200078,       value = 00000000
5020007c,       value = 00000000
50200080,       value = 00000000
50200084,       value = 00000000
50200088,       value = 00000000
5020008c,       value = 00000000
50200090,       value = 00000000
50200094,       value = 00000000
50200098,       value = 00000000
5020009c,       value = 00000000
502000a0,       value = 00000000
502000a4,       value = 00000000
502000a8,       value = 00000000
502000ac,       value = 00000000
502000b0,       value = 00000000
502000b4,       value = 00000000
502000b8,       value = 00000000
502000bc,       value = 00000000
502000c0,       value = 00000000
502000c4,       value = 00000000
502000c8,       value = 000fa000
502000cc,       value = 0001fe00
502000d0,       value = 40060000
502000d4,       value = 0000001c
502000d8,       value = 00006221
502000dc,       value = 20003000
502000e0,       value = 00010000
502000e4,       value = 0001f000
502000e8,       value = 000c0000
502000ec,       value = 00000000
502000f0,       value = 0000079c
502000f4,       value = 14000000
502000f8,       value = 00010000
502000fc,       value = 0001f000
50200100,       value = 000c0000
50200104,       value = 00000000
50200108,       value = 0000079c
5020010c,       value = 14000000
50200110,       value = 00010000
50200114,       value = 0001f000
50200118,       value = 000c0000
5020011c,       value = 00000000
50200120,       value = 0000079c
50200124,       value = 14000000
50200128,       value = 000000f0
5020012c,       value = 00000000
50200130,       value = 00000000
50200134,       value = 00000000
50200138,       value = 00000000
5020013c,       value = 00000000
50200140,       value = 00000000
